Metadata,,,,,,Phage,,,Bacteria counts,,,,,Bacteria CFU,,,,,Bacteria fractions,,,,Relative fitness,,,
Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,phage_count,phage_dilution,PFU,SM_count,CRISPR_count,BIM_count,white_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,white_CFU,total_CFU,frac_SM,frac_CRISPR,frac_BIM,frac_white,w_SM,w_CRISPR,w_BIM,w_white
1-clone,0,1,1,1,1,8,1.00E+03,1600000,8,28,28,0,1.00E+04,800000,2800000,2800000,0,3600000,0.222222222,0.777777778,1,0,1,1,1,1
1-clone,0,2,2,2,2,12,1.00E+03,2400000,9,6,6,0,1.00E+04,900000,600000,600000,0,1500000,0.6,0.4,1,0,1,1,1,1
1-clone,0,3,3,3,3,10,1.00E+03,2000000,10,10,10,0,1.00E+04,1000000,1000000,1000000,0,2000000,0.5,0.5,1,0,1,1,1,1
1-clone,0,4,4,4,4,4,1.00E+03,800000,18,33,33,0,1.00E+04,1800000,3300000,3300000,0,5100000,0.352941176,0.647058824,1,0,1,1,1,1
1-clone,0,5,5,5,5,7,1.00E+03,1400000,18,16,16,0,1.00E+04,1800000,1600000,1600000,0,3400000,0.529411765,0.470588235,1,0,1,1,1,1
1-clone,0,6,6,6,6,4,1.00E+03,800000,10,19,19,0,1.00E+04,1000000,1900000,1900000,0,2900000,0.344827586,0.655172414,1,0,1,1,1,1
1-clone,0,7,7,7,7,4,1.00E+03,800000,14,31,31,0,1.00E+04,1400000,3100000,3100000,0,4500000,0.311111111,0.688888889,1,0,1,1,1,1
1-clone,0,8,8,8,8,4,1.00E+03,800000,15,22,22,0,1.00E+04,1500000,2200000,2200000,0,3700000,0.405405405,0.594594595,1,0,1,1,1,1
1-clone,0,9,9,9,9,7,1.00E+02,140000,20,10,10,0,1.00E+04,2000000,1000000,1000000,0,3000000,0.666666667,0.333333333,1,0,1,1,1,1
1-clone,0,10,10,10,10,4,1.00E+03,800000,14,20,20,0,1.00E+04,1400000,2000000,2000000,0,3400000,0.411764706,0.588235294,1,0,1,1,1,1
1-clone,0,11,11,11,11,4,1.00E+03,800000,18,15,15,0,1.00E+04,1800000,1500000,1500000,0,3300000,0.545454545,0.454545455,1,0,1,1,1,1
1-clone,0,12,12,12,12,15,1.00E+02,300000,11,12,12,0,1.00E+04,1100000,1200000,1200000,0,2300000,0.47826087,0.52173913,1,0,1,1,1,1
1-clone,0,13,13,13,13,5,1.00E+03,1000000,9,8,8,0,1.00E+04,900000,800000,800000,0,1700000,0.529411765,0.470588235,1,0,1,1,1,1
1-clone,0,14,14,14,14,7,1.00E+03,1400000,7,15,15,0,1.00E+04,700000,1500000,1500000,0,2200000,0.318181818,0.681818182,1,0,1,1,1,1
1-clone,0,15,15,15,15,5,1.00E+02,100000,12,22,22,0,1.00E+04,1200000,2200000,2200000,0,3400000,0.352941176,0.647058824,1,0,1,1,1,1
1-clone,0,16,16,16,16,9,1.00E+03,1800000,23,43,43,0,1.00E+04,2300000,4300000,4300000,0,6600000,0.348484848,0.651515152,1,0,1,1,1,1
1-clone,0,17,17,17,17,5,1.00E+02,100000,8,9,9,0,1.00E+04,800000,900000,900000,0,1700000,0.470588235,0.529411765,1,0,1,1,1,1
1-clone,0,18,18,18,18,6,1.00E+02,120000,11,14,14,0,1.00E+04,1100000,1400000,1400000,0,2500000,0.44,0.56,1,0,1,1,1,1
1-clone,0,19,19,19,19,6,1.00E+02,120000,11,6,6,0,1.00E+04,1100000,600000,600000,0,1700000,0.647058824,0.352941176,1,0,1,1,1,1
1-clone,0,20,20,20,20,5,1.00E+02,100000,16,5,5,0,1.00E+04,1600000,500000,500000,0,2100000,0.761904762,0.238095238,1,0,1,1,1,1
1-clone,0,21,21,21,21,8,1.00E+02,160000,18,11,11,0,1.00E+04,1800000,1100000,1100000,0,2900000,0.620689655,0.379310345,1,0,1,1,1,1
1-clone,0,22,22,22,22,34,1.00E+01,68000,12,12,12,0,1.00E+04,1200000,1200000,1200000,0,2400000,0.5,0.5,1,0,1,1,1,1
1-clone,0,23,23,23,23,9,1.00E+02,180000,9,11,11,0,1.00E+04,900000,1100000,1100000,0,2000000,0.45,0.55,1,0,1,1,1,1
1-clone,0,24,24,24,24,5,1.00E+02,100000,6,4,4,0,1.00E+04,600000,400000,400000,0,1000000,0.6,0.4,1,0,1,1,1,1
1-clone,1,1,1,1,1,23,1.00E+06,4600000000,61,0,0,,1.00E+06,610000000,0,0,0,610000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,1,2,2,2,2,33,1.00E+05,660000000,57,2,2,,1.00E+06,570000000,20000000,20000000,0,590000000,0.966101695,0.033898305,1,0,19,0.052631579,0.052631579,0.052631579
1-clone,1,3,3,3,3,17,1.00E+06,3400000000,52,5,5,,1.00E+06,520000000,50000000,50000000,0,570000000,0.912280702,0.087719298,1,0,10.4,0.096153846,0.096153846,0.096153846
1-clone,1,4,4,4,4,20,1.00E+06,4000000000,53,3,3,,1.00E+06,530000000,30000000,30000000,0,560000000,0.946428571,0.053571429,1,0,32.38888889,0.030874786,0.030874786,0.030874786
1-clone,1,5,5,5,5,14,1.00E+06,2800000000,168,6,6,,1.00E+06,1680000000,60000000,60000000,0,1740000000,0.965517241,0.034482759,1,0,24.88888889,0.040178571,0.040178571,0.040178571
1-clone,1,6,6,6,6,16,1.00E+06,3200000000,110,6,6,,1.00E+06,1100000000,60000000,60000000,0,1160000000,0.948275862,0.051724138,1,0,34.83333333,0.028708134,0.028708134,0.028708134
1-clone,1,7,7,7,7,20,1.00E+06,4000000000,204,4,4,,1.00E+06,2040000000,40000000,40000000,0,2080000000,0.980769231,0.019230769,1,0,112.9285714,0.008855155,0.008855155,0.008855155
1-clone,1,8,8,8,8,23,1.00E+06,4600000000,26,4,4,,1.00E+06,260000000,40000000,40000000,0,300000000,0.866666667,0.133333333,1,0,9.533333333,0.104895105,0.104895105,0.104895105
1-clone,1,9,9,9,9,10,1.00E+06,2000000000,96,1,1,,1.00E+06,960000000,10000000,10000000,0,970000000,0.989690722,0.010309278,1,0,48,0.020833333,0.020833333,0.020833333
1-clone,1,10,10,10,10,17,1.00E+06,3400000000,16,2,2,,1.00E+06,160000000,20000000,20000000,0,180000000,0.888888889,0.111111111,1,0,11.42857143,0.0875,0.0875,0.0875
1-clone,1,11,11,11,11,20,1.00E+06,4000000000,6,0,0,,1.00E+06,60000000,0,0,0,60000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,1,12,12,12,12,8,1.00E+06,1600000000,24,1,1,,1.00E+06,240000000,10000000,10000000,0,250000000,0.96,0.04,1,0,26.18181818,0.038194444,0.038194444,0.038194444
1-clone,1,13,13,13,13,12,1.00E+06,2400000000,52,2,2,,1.00E+06,520000000,20000000,20000000,0,540000000,0.962962963,0.037037037,1,0,23.11111111,0.043269231,0.043269231,0.043269231
1-clone,1,14,14,14,14,15,1.00E+06,3000000000,33,3,3,,1.00E+06,330000000,30000000,30000000,0,360000000,0.916666667,0.083333333,1,0,23.57142857,0.042424242,0.042424242,0.042424242
1-clone,1,15,15,15,15,15,1.00E+06,3000000000,51,4,4,,1.00E+06,510000000,40000000,40000000,0,550000000,0.927272727,0.072727273,1,0,23.375,0.042780749,0.042780749,0.042780749
1-clone,1,16,16,16,16,26,1.00E+06,5200000000,48,3,3,,1.00E+06,480000000,30000000,30000000,0,510000000,0.941176471,0.058823529,1,0,29.91304348,0.033430233,0.033430233,0.033430233
1-clone,1,17,17,17,17,35,1.00E+05,700000000,19,1,1,,1.00E+06,190000000,10000000,10000000,0,200000000,0.95,0.05,1,0,21.375,0.046783626,0.046783626,0.046783626
1-clone,1,18,18,18,18,23,1.00E+06,4600000000,26,0,0,,1.00E+06,260000000,0,0,0,260000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,1,19,19,19,19,12,1.00E+05,240000000,16,3,3,,1.00E+06,160000000,30000000,30000000,0,190000000,0.842105263,0.157894737,1,0,2.909090909,0.34375,0.34375,0.34375
1-clone,1,20,20,20,20,14,1.00E+06,2800000000,7,0,0,,1.00E+06,70000000,0,0,0,70000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,1,21,21,21,21,15,1.00E+06,3000000000,15,1,1,,1.00E+06,150000000,10000000,10000000,0,160000000,0.9375,0.0625,1,0,9.166666667,0.109090909,0.109090909,0.109090909
1-clone,1,22,22,22,22,15,1.00E+06,3000000000,18,0,0,,1.00E+06,180000000,0,0,0,180000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,1,23,23,23,23,17,1.00E+06,3400000000,14,1,1,,1.00E+06,140000000,10000000,10000000,0,150000000,0.933333333,0.066666667,1,0,17.11111111,0.058441558,0.058441558,0.058441558
1-clone,1,24,24,24,24,7,1.00E+06,1400000000,26,4,4,,1.00E+06,260000000,40000000,40000000,0,300000000,0.866666667,0.133333333,1,0,4.333333333,0.230769231,0.230769231,0.230769231
1-clone,2,1,1,1,1,9,1.00E+04,18000000,176,13,13,,1.00E+06,1760000000,130000000,130000000,0,1890000000,0.931216931,0.068783069,1,0,47.38461538,0.021103896,0.021103896,0.021103896
1-clone,2,2,2,2,2,8,1.00E+04,16000000,57,2,2,,1.00E+06,570000000,20000000,20000000,0,590000000,0.966101695,0.033898305,1,0,19,0.052631579,0.052631579,0.052631579
1-clone,2,3,3,3,3,10,1.00E+04,20000000,41,1,1,,1.00E+06,410000000,10000000,10000000,0,420000000,0.976190476,0.023809524,1,0,41,0.024390244,0.024390244,0.024390244
1-clone,2,4,4,4,4,11,1.00E+04,22000000,26,0,0,,1.00E+06,260000000,0,0,0,260000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,2,5,5,5,5,11,1.00E+04,22000000,51,1,1,,1.00E+06,510000000,10000000,10000000,0,520000000,0.980769231,0.019230769,1,0,45.33333333,0.022058824,0.022058824,0.022058824
1-clone,2,6,6,6,6,7,1.00E+04,14000000,19,0,0,,1.00E+06,190000000,0,0,0,190000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,2,7,7,7,7,13,1.00E+04,26000000,83,4,4,,1.00E+06,830000000,40000000,40000000,0,870000000,0.954022989,0.045977011,1,0,45.94642857,0.021764477,0.021764477,0.021764477
1-clone,2,8,8,8,8,10,1.00E+04,20000000,118,10,10,,1.00E+06,1180000000,100000000,100000000,0,1280000000,0.921875,0.078125,1,0,17.30666667,0.057781202,0.057781202,0.057781202
1-clone,2,9,9,9,9,10,1.00E+04,20000000,23,7,7,,1.00E+06,230000000,70000000,70000000,0,300000000,0.766666667,0.233333333,1,0,1.642857143,0.608695652,0.608695652,0.608695652
1-clone,2,10,10,10,10,8,1.00E+04,16000000,44,5,5,,1.00E+06,440000000,50000000,50000000,0,490000000,0.897959184,0.102040816,1,0,12.57142857,0.079545455,0.079545455,0.079545455
1-clone,2,11,11,11,11,12,1.00E+04,24000000,15,1,1,,1.00E+06,150000000,10000000,10000000,0,160000000,0.9375,0.0625,1,0,12.5,0.08,0.08,0.08
1-clone,2,12,12,12,12,6,1.00E+04,12000000,324,48,48,,1.00E+06,3240000000,480000000,480000000,0,3720000000,0.870967742,0.129032258,1,0,7.363636364,0.135802469,0.135802469,0.135802469
1-clone,2,13,13,13,13,12,1.00E+04,24000000,29,1,1,,1.00E+06,290000000,10000000,10000000,0,300000000,0.966666667,0.033333333,1,0,25.77777778,0.038793103,0.038793103,0.038793103
1-clone,2,14,14,14,14,10,1.00E+04,20000000,20,1,1,,1.00E+06,200000000,10000000,10000000,0,210000000,0.952380952,0.047619048,1,0,42.85714286,0.023333333,0.023333333,0.023333333
1-clone,2,15,15,15,15,12,1.00E+04,24000000,34,7,7,,1.00E+06,340000000,70000000,70000000,0,410000000,0.829268293,0.170731707,1,0,8.904761905,0.112299465,0.112299465,0.112299465
1-clone,2,16,16,16,16,6,1.00E+05,120000000,62,4,4,,1.00E+06,620000000,40000000,40000000,0,660000000,0.939393939,0.060606061,1,0,28.97826087,0.034508627,0.034508627,0.034508627
1-clone,2,17,17,17,17,18,1.00E+01,36000,21,5,5,,1.00E+06,210000000,50000000,50000000,0,260000000,0.807692308,0.192307692,1,0,4.725,0.211640212,0.211640212,0.211640212
1-clone,2,18,18,18,18,3,1.00E+04,6000000,47,3,3,,1.00E+06,470000000,30000000,30000000,0,500000000,0.94,0.06,1,0,19.93939394,0.050151976,0.050151976,0.050151976
1-clone,2,19,19,19,19,31,1.00E+03,6200000,17,10,10,,1.00E+06,170000000,100000000,100000000,0,270000000,0.62962963,0.37037037,1,0,0.927272727,1.078431373,1.078431373,1.078431373
1-clone,2,20,20,20,20,11,1.00E+04,22000000,28,2,2,,1.00E+06,280000000,20000000,20000000,0,300000000,0.933333333,0.066666667,1,0,4.375,0.228571429,0.228571429,0.228571429
1-clone,2,21,21,21,21,15,1.00E+04,30000000,27,2,2,,1.00E+06,270000000,20000000,20000000,0,290000000,0.931034483,0.068965517,1,0,8.25,0.121212121,0.121212121,0.121212121
1-clone,2,22,22,22,22,7,1.00E+04,14000000,12,1,1,,1.00E+06,120000000,10000000,10000000,0,130000000,0.923076923,0.076923077,1,0,12,0.083333333,0.083333333,0.083333333
1-clone,2,23,23,23,23,14,1.00E+04,28000000,32,3,3,,1.00E+06,320000000,30000000,30000000,0,350000000,0.914285714,0.085714286,1,0,13.03703704,0.076704545,0.076704545,0.076704545
1-clone,2,24,24,24,24,7,1.00E+04,14000000,24,0,0,,1.00E+06,240000000,0,0,0,240000000,1,0,NA,#DIV/0!,#DIV/0!,0,0,0
1-clone,3,1,1,1,1,12,1.00E+02,240000,23,1,1,,1.00E+06,230000000,10000000,10000000,0,240000000,0.958333333,0.041666667,1,0,80.5,0.01242236,0.01242236,0.01242236
